2025-01-28 04:23:43 install diffutils:arm64 <none> 1:3.10-1build1
2025-01-28 04:23:43 status half-installed diffutils:arm64 1:3.10-1build1
2025-01-28 04:23:43 status unpacked diffutils:arm64 1:3.10-1build1
2025-01-28 04:23:43 upgrade dpkg:arm64 1.22.6ubuntu6 1.22.6ubuntu6
2025-01-28 04:23:43 status half-configured dpkg:arm64 1.22.6ubuntu6
2025-01-28 04:23:43 status unpacked dpkg:arm64 1.22.6ubuntu6
2025-01-28 04:23:43 status half-installed dpkg:arm64 1.22.6ubuntu6
2025-01-28 04:23:44 status unpacked dpkg:arm64 1.22.6ubuntu6
2025-01-28 04:23:44 install e2fsprogs:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:23:44 status half-installed e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:23:45 status unpacked e2fsprogs:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:23:45 install findutils:arm64 <none> 4.9.0-5build1
2025-01-28 04:23:45 status half-installed findutils:arm64 4.9.0-5build1
2025-01-28 04:23:45 status unpacked findutils:arm64 4.9.0-5build1
2025-01-28 04:23:45 install gcc-14-base:arm64 <none> 14-20240412-0ubuntu1
2025-01-28 04:23:45 status half-installed gcc-14-base:arm64 14-20240412-0ubuntu1
2025-01-28 04:23:45 status unpacked gcc-14-base:arm64 14-20240412-0ubuntu1
2025-01-28 04:23:45 install grep:arm64 <none> 3.11-4build1
2025-01-28 04:23:45 status half-installed grep:arm64 3.11-4build1
2025-01-28 04:23:45 status unpacked grep:arm64 3.11-4build1
2025-01-28 04:23:45 install gzip:arm64 <none> 1.12-1ubuntu3
2025-01-28 04:23:45 status half-installed gzip:arm64 1.12-1ubuntu3
2025-01-28 04:23:46 status unpacked gzip:arm64 1.12-1ubuntu3
2025-01-28 04:23:46 install hostname:arm64 <none> 3.23+nmu2ubuntu2
2025-01-28 04:23:46 status half-installed hostname:arm64 3.23+nmu2ubuntu2
2025-01-28 04:23:46 status unpacked hostname:arm64 3.23+nmu2ubuntu2
2025-01-28 04:23:46 install init-system-helpers:all <none> 1.66ubuntu1
2025-01-28 04:23:46 status half-installed init-system-helpers:all 1.66ubuntu1
2025-01-28 04:23:47 status unpacked init-system-helpers:all 1.66ubuntu1
2025-01-28 04:23:47 install libacl1:arm64 <none> 2.3.2-1build1
2025-01-28 04:23:47 status half-installed libacl1:arm64 2.3.2-1build1
2025-01-28 04:23:47 status unpacked libacl1:arm64 2.3.2-1build1
2025-01-28 04:23:47 install libattr1:arm64 <none> 1:2.5.2-1build1
2025-01-28 04:23:47 status half-installed libattr1:arm64 1:2.5.2-1build1
2025-01-28 04:23:47 status unpacked libattr1:arm64 1:2.5.2-1build1
2025-01-28 04:23:47 install libaudit-common:all <none> 1:3.1.2-2.1build1
2025-01-28 04:23:47 status half-installed libaudit-common:all 1:3.1.2-2.1build1
2025-01-28 04:23:47 status unpacked libaudit-common:all 1:3.1.2-2.1build1
2025-01-28 04:23:47 install libaudit1:arm64 <none> 1:3.1.2-2.1build1
2025-01-28 04:23:47 status half-installed libaudit1:arm64 1:3.1.2-2.1build1
